cluster,columna,ngrama,frecuencia
1.0,essay4_tokens,zen art motorcycle maintenance,109
1.0,essay4_tokens,wet hot american summer,107
1.0,essay4_tokens,40 year old virgin,101
1.0,essay4_tokens,lock stock smoking barrels,101
1.0,essay5_tokens,family friends good food,46
1.0,essay5_tokens,earth water air self,32
1.0,essay5_tokens,http www youtube com,31
1.0,essay5_tokens,www youtube com watch,31
1.0,essay5_tokens,water air self earth,31
1.0,essay5_tokens,air self earth water,31
1.0,essay5_tokens,self earth water air,31
1.0,essay5_tokens,air water food shelter,30
1.0,essay5_tokens,friends family good food,24
1.0,essay5_tokens,good friends good food,22
1.0,essay6_tokens,meu meu meu meu,497
1.0,essay6_tokens,spend lot time thinking,344
1.0,essay6_tokens,make world better place,81
1.0,essay6_tokens,http www youtube com,53
1.0,essay6_tokens,www youtube com watch,52
1.0,essay6_tokens,rg gr rg rg,22
1.0,essay6_tokens,gr gr gr gr,22
1.0,essay6_tokens,spend alot time thinking,17
1.0,essay6_tokens,making world better place,15
1.0,essay6_tokens,spend lot time trying,15
1.0,essay7_tokens,thing typical friday night,53
1.0,essay7_tokens,http www youtube com,32
1.0,essay7_tokens,www youtube com watch,32
1.0,essay7_tokens,really typical friday night,31
1.0,essay7_tokens,watching movie reading book,25
1.0,essay7_tokens,hanging friends watching movie,24
1.0,essay7_tokens,friends home watching movie,19
1.0,essay7_tokens,playing video games watching,18
1.0,essay7_tokens,reading book watching movie,18
1.0,essay7_tokens,happy hour dinner friends,17
1.0,essay8_tokens,http www youtube com,49
1.0,essay8_tokens,www youtube com watch,46
1.0,essay8_tokens,private thing willing admit,39
1.0,essay8_tokens,want profile 1000 wordsi,21
1.0,essay8_tokens,profile 1000 wordsi want,21
1.0,essay8_tokens,1000 wordsi want profile,21
1.0,essay8_tokens,wordsi want profile 1000,21
1.0,essay8_tokens,want profile 1000 words,14
1.0,essay8_tokens,profile 1000 words want,12
1.0,essay8_tokens,1000 words want profile,12
1.0,essay9_tokens,words words words words,351
1.0,essay9_tokens,www youtube com watch,110
1.0,essay9_tokens,http www youtube com,109
1.0,essay9_tokens,thous words thous words,107
1.0,essay9_tokens,words thous words thous,106
1.0,essay9_tokens,1000 words 1000 words,57
1.0,essay9_tokens,words 1000 words 1000,56
1.0,essay9_tokens,looking meet new people,22
1.0,essay9_tokens,want meet new people,21
1.0,essay9_tokens,like meeting new people,21
2.0,essay0_tokens,looking meet new people,136
2.0,essay0_tokens,love meeting new people,133
2.0,essay0_tokens,born raised bay area,111
2.0,essay0_tokens,work hard play hard,109
2.0,essay0_tokens,http www youtube com,91
2.0,essay0_tokens,born raised san francisco,88
2.0,essay0_tokens,www youtube com watch,87
2.0,essay0_tokens,recently moved san francisco,78
2.0,essay0_tokens,san francisco years ago,70
2.0,essay0_tokens,love trying new things,67
2.0,essay1_tokens,work hard play hard,68
2.0,essay1_tokens,make world better place,49
2.0,essay1_tokens,spending time friends family,43
2.0,essay1_tokens,http www youtube com,42
2.0,essay1_tokens,spending time family friends,41
2.0,essay1_tokens,www youtube com watch,38
2.0,essay1_tokens,san francisco state university,35
2.0,essay1_tokens,working hard playing hard,22
2.0,essay1_tokens,trying make world better,21
2.0,essay1_tokens,spend time family friends,20
2.0,essay2_tokens,making people feel comfortable,164
2.0,essay2_tokens,good making people laugh,87
2.0,essay2_tokens,making people laugh making,62
2.0,essay2_tokens,really good making people,54
2.0,essay2_tokens,making people feel good,45
2.0,essay2_tokens,making people laugh good,35
2.0,essay2_tokens,making people laugh smile,33
2.0,essay2_tokens,making people laugh cooking,30
2.0,essay2_tokens,listening making people laugh,25
2.0,essay2_tokens,cooking making people laugh,25
2.0,essay3_tokens,thing people usually notice,46
2.0,essay3_tokens,people usually notice smile,24
2.0,essay3_tokens,things people usually notice,18
2.0,essay3_tokens,ve told nice smile,16
2.0,essay3_tokens,thing people notice smile,14
2.0,essay3_tokens,people usually notice eyes,12
2.0,essay3_tokens,make people feel comfortable,10
