Cluster,Top,Columna,4grama,Frecuencia
1,8,essay2_tokens,'m also pretty good,51
1,9,essay2_tokens,making people laugh making,46
1,10,essay2_tokens,'m really good making,39
1,1,essay3_tokens,first thing people notice,71
1,2,essay3_tokens,thing people usually notice,25
1,3,essay3_tokens,first thing people usually,23
1,4,essay3_tokens,people say look like,14
1,5,essay3_tokens,look like someone know,13
1,6,essay3_tokens,first things people notice,12
1,7,essay3_tokens,'d like think 's,11
1,8,essay3_tokens,thing people notice 'm,11
1,9,essay3_tokens,'ve never asked anyone,11
1,10,essay3_tokens,'ve told look like,8
1,1,essay4_tokens,-- -- -- --,644
1,2,essay4_tokens,eternal sunshine spotless mind,375
1,3,essay4_tokens,'s always sunny philadelphia,248
1,4,essay4_tokens,red hot chili peppers,228
1,5,essay4_tokens,daily show colbert report,162
1,6,essay4_tokens,fear loathing las vegas,154
1,7,essay4_tokens,n't watch much tv,109
1,8,essay4_tokens,hitchhiker 's guide galaxy,108
1,9,essay4_tokens,zen art motorcycle maintenance,93
1,10,essay4_tokens,flew cuckoo 's nest,88
1,1,essay5_tokens,1. family 2. friends,113
1,2,essay5_tokens,family 2. friends 3.,113
1,3,essay5_tokens,-- -- -- --,70
1,4,essay5_tokens,things could never without,51
1,5,essay5_tokens,1 family 2 friends,41
1,6,essay5_tokens,family 2 friends 3,39
1,7,essay5_tokens,1. family friends 2.,37
1,8,essay5_tokens,six things could never,35
1,9,essay5_tokens,ca n't live without,33
1,10,essay5_tokens,earth fire water air,32
1,1,essay6_tokens,spend lot time thinking,263
1,2,essay6_tokens,make world better place,80
1,3,essay6_tokens,also spend lot time,45
1,4,essay6_tokens,-- -- -- --,45
1,5,essay6_tokens,'m going eat next,44
1,6,essay6_tokens,spend much time thinking,22
1,7,essay6_tokens,'m going travel next,18
1,8,essay6_tokens,n't spend lot time,16
1,9,essay6_tokens,making world better place,14
1,10,essay6_tokens,'m going eat dinner,14
1,1,essay7_tokens,thing typical friday night,51
1,2,essay7_tokens,`` typical '' friday,30
1,3,essay7_tokens,n't typical friday night,28
1,4,essay7_tokens,-- -- -- --,23
1,5,essay7_tokens,typical friday night ...,19
1,6,essay7_tokens,typical '' friday night,19
1,7,essay7_tokens,really typical friday night,19
1,8,essay7_tokens,grabbing dinner drinks friends,16
1,9,essay7_tokens,watching movie reading book,16
1,10,essay7_tokens,typical friday night 'm,16
1,1,essay8_tokens,-- -- -- --,181
1,2,essay8_tokens,pretty much open book,30
1,3,essay8_tokens,want profile 1000 wordsi,21
1,4,essay8_tokens,profile 1000 wordsi want,21
1,5,essay8_tokens,1000 wordsi want profile,21
1,6,essay8_tokens,wordsi want profile 1000,21
1,7,essay8_tokens,ca n't think anything,19
1,8,essay8_tokens,'m pretty much open,18
1,9,essay8_tokens,would n't private would,18
1,10,essay8_tokens,thing 'm willing admit,17
1,1,essay9_tokens,-- -- -- --,172
1,2,essay9_tokens,one thous words one,107
1,3,essay9_tokens,thous words one thous,107
1,4,essay9_tokens,words one thous words,107
1,5,essay9_tokens,would like get know,57
1,6,essay9_tokens,z z z z,53
1,7,essay9_tokens,want get know better,48
1,8,essay9_tokens,e e e e,45
1,9,essay9_tokens,think 'd get along,44
1,10,essay9_tokens,n n n n,42
2,1,essay0_tokens,-- -- -- --,541
2,2,essay0_tokens,love meeting new people,80
2,3,essay0_tokens,born raised bay area,62
2,4,essay0_tokens,work hard play hard,61
2,5,essay0_tokens,looking meet new people,60
2,6,essay0_tokens,'m bay area native,50
2,7,essay0_tokens,'m pretty laid back,48
2,8,essay0_tokens,love trying new things,48
2,9,essay0_tokens,would love meet someone,45
2,10,essay0_tokens,born raised san francisco,44
2,1,essay1_tokens,-- -- -- --,104
2,2,essay1_tokens,work hard play hard,39
2,3,essay1_tokens,spending time family friends,30
2,4,essay1_tokens,make world better place,29
2,5,essay1_tokens,moved back bay area,21
2,6,essay1_tokens,san francisco state university,21
2,7,essay1_tokens,spending time friends family,21
